year,masa_g,long_mm
2016,0.29,10.5
2016,0.25,10.3
2016,0.27,10.14
2016,0.26,10.1
2016,0.24,10.3
2016,0.28,10.4
2016,0.089,18.9
2016,0.26,11.05
2016,0.12,18.9
2016,0.3,11.6
2016,0.21,11.1
2016,0.26,11.2
2016,0.25,11
2016,0.14,10.1
2016,0.31,12.5
2016,0.26,12.8
2016,0.303,12.2
2016,0.254,12.6
2016,0.137,11.6
2016,0.274,13.1
2016,0.316,12.2
2016,0.309,11.9
2016,0.314,12.2
2016,0.326,11.5
2016,0.288,11
2016,0.288,11.7
2016,0.293,12.6
2016,0.303,11.8
2016,0.148,12.4
2016,0.282,12.2
2016,0.287,12.4
2016,0.289,12.2
2016,0.308,12.6
2016,0.324,12.7
2016,0.316,11.3
2016,0.105,10.8
2016,0.328,12.4
2016,0.306,11.7
2016,0.277,12.3
2016,0.157,12.5
2016,0.275,12.6
2016,0.272,12.7
2016,0.306,12.4
2016,0.302,11.8
2016,0.247,11
2016,0.119,10.9
2016,0.237,11.1
2016,0.251,11.7
2016,0.283,11.9
2016,0.285,12.6
2016,0.298,13.4
2016,0.142,12.6
2016,0.262,12.8
2016,0.307,12.4
2016,0.242,11.2
2016,0.313,13
2016,0.292,13.5
2016,0.262,12.8
2016,0.247,11.2
2016,0.266,12.6
2016,0.266,10.1
2016,0.25,10.5
2016,0.24,10.94
2016,0.22,10
2016,0.25,9.85
2016,0.24,9.97
2016,0.25,9.98
2016,0.24,10.6
2016,0.21,9.85
2016,0.22,10.01
2016,0.23,9.77
2016,0.16,9.89
2016,0.2,9.87
2016,0.253,10.8
2016,0.12,9
2016,0.217,10.7
2016,0.246,9.5
2016,0.22,11.7
2016,0.22,11.8
2016,0.264,10.5
2016,0.243,11.5
2016,0.243,10.1
2016,0.231,9.7
2016,0.206,10.7
2016,0.211,9.8
2016,0.207,9.1
2016,0.23,9
2016,0.206,10.2
2016,0.214,9.5
2016,0.222,10.5
2016,0.219,10.2
2016,0.218,9.1
2016,0.211,9.3
2016,0.189,10.4
2016,0.2,9.2
2016,0.191,9.3
2016,0.203,10.6
2016,0.224,9.2
2016,0.208,10.1
2016,0.197,9.8
2016,0.225,10.1
2016,0.106,10.3
2016,0.201,9
2016,0.201,9.2
2016,0.202,10.8
2016,0.211,9.2
2016,0.217,9.3
2016,0.225,10.5
2016,0.231,9.3
2016,0.226,10.3
2016,0.243,10.2
2016,0.24,10.4
2016,0.209,9.1
2016,0.244,10.5
2016,0.229,9.3
2016,0.211,9
2016,0.251,9
2016,0.218,9
2016,0.239,9.4
2016,0.208,8.9
2016,0.093,10.4
2016,0.242,11.6
2016,0.226,9.4
2016,0.214,10
2016,0.236,11.5
2016,0.234,10.1
2016,0.205,10.5
2016,0.215,11.2
2016,0.218,10.2
2016,0.23,11.1
2016,0.212,9
2016,0.229,8.4
2016,0.213,9.3
2016,0.262,9.9
2016,0.227,10.2
2016,0.252,10.2
2016,0.257,10.6
2016,0.25,11.1
2016,0.273,11.2
2016,0.262,10
2016,0.18,10.1
2016,0.2,9.8
2016,0.2,9.7
2016,0.21,9.5
2016,0.24,9.2
2016,0.21,9.6
2016,0.19,8.8
2016,0.24,9.1
2016,0.2,10.6
2016,0.2,10.5
2016,0.22,8.9
2016,0.24,10.8
2016,0.2,10.7
2016,0.2,10
2016,0.21,11
2016,0.157,9.7
2016,0.173,10.1
2016,0.211,8.8
2016,0.22,9.6
2016,0.197,9.6
2016,0.182,9.1
2016,0.192,10
2016,0.123,8.6
2016,0.032,7.3
2016,0.187,10.1
2016,0.181,9.2
2016,0.214,9.9
2016,0.234,9.5
2016,0.196,10
2016,0.197,10
2016,0.203,9.5
2016,0.247,9.7
2016,0.202,9.5
2016,0.204,9.7
2016,0.211,9.4
2016,0.206,10.3
2016,0.215,10.3
2016,0.233,9.1
2016,0.22,9.9
2016,0.198,9.5
2016,0.233,10.3
2016,0.215,9.1
2016,0.217,9.4
2016,0.219,10.3
2016,0.222,9.1
2016,0.199,10.5
2016,0.188,9.9
2016,0.212,10.1
2016,0.114,8.3
2016,0.192,9.5
2016,0.206,10.8
2016,0.216,10
2016,0.103,10.1
2016,0.187,10.5
2016,0.209,9.1
2016,0.23,10.2
2016,0.2,8.5
2016,0.1,9.5
2016,0.232,9
2016,0.235,9
2016,0.196,8.7
2016,0.218,9.7
2016,0.219,9.5
2016,0.192,9.4
2016,0.082,7.2
2016,0.214,9.2
2016,0.203,9
2016,0.193,9.3
2016,0.205,8.3
2016,0.232,8.2
2016,0.197,8.9
2016,0.221,9.6
2016,0.216,8.6
2016,0.207,8.5
2016,0.085,7.1
2016,0.221,8.1
2016,0.204,8.3
2016,0.223,8.2
2016,0.237,8.3
2016,0.176,9.7
2016,0.203,8.6
2016,0.186,9.2
2016,0.176,9.1
2017,0.202,10
2017,0.191,9.8
2017,0.192,10.2
2017,0.18,9.9
2017,0.136,9.3
2017,0.184,10
2017,0.181,9.2
2017,0.181,9.8
2017,0.197,9.4
2017,0.19,9.7
2017,0.203,9.4
2017,0.231,7.8
2017,0.218,8
2017,0.229,7.5
2017,0.213,8.5
2017,0.246,9.1
2017,0.224,8.6
2017,0.192,9.4
2017,0.2,9.8
2017,0.168,10.1
2017,0.218,8.5
2017,0.189,11
2017,0.195,10.2
2017,0.214,10.6
2017,0.196,10.4
2017,0.195,10.7
2017,0.193,10.4
2017,0.188,9
2017,0.222,10.5
2017,0.209,9.7
2017,0.203,10
2017,0.197,10
2017,0.203,9.6
2017,0.206,9.9
2017,0.196,10.5
2017,0.228,10.5
2017,0.23,9.7
2017,0.191,10.3
2017,0.217,10.7
2017,0.226,10.9
2017,0.206,10.5
2017,0.186,9.8
2017,0.207,9.2
2017,0.216,9.8
2017,0.223,9.4
2017,0.233,6.1
2017,0.213,6.4
2017,0.225,6.6
2017,0.2,5.4
2017,0.212,8
2017,0.239,7.3
2017,0.231,7.6
2017,0.218,6.3
2017,0.252,9.2
2017,0.084,6.3
2017,0.242,8.2
2017,0.24,9.4
2017,0.207,5.7
2017,0.214,7.1
2017,0.187,9.5
2017,0.209,9.1
2017,0.072,9.3
2017,0.186,9.9
2017,0.179,9.5
2017,0.195,9.6
2017,0.201,9.3
2017,0.224,8.7
2017,0.229,9
2017,0.198,10.1
2017,0.195,10.1
2017,0.204,9.2
2017,0.247,8.6
2017,0.184,8.8
2017,0.16,9.1
2017,0.176,9
2017,0.174,9.4
2017,0.173,9.9
2017,0.174,10.1
2017,0.201,9
2017,0.186,9.1
2017,0.176,9.3
2017,0.083,9.3
2017,0.262,6.5
2017,0.257,7.6
2017,0.3,8.6
2017,0.259,6.1
2017,0.321,8.6
2017,0.283,9.1
2017,0.273,9.1
2017,0.284,7.3
2017,0.273,7.4
2017,0.287,6.7
2017,0.258,7.1
2017,0.296,8.3
2017,0.284,7.3
2017,0.245,6.7
2017,0.261,6.7
2017,0.196,8.2
2017,0.2,9
2017,0.199,8.9
2017,0.179,9.6
2017,0.19,10
2017,0.194,9
2017,0.189,9.6
2017,0.022,6.5
2017,0.195,9
2017,0.194,9.5
2017,0.186,10.3
2017,0.186,10
2017,0.196,9.3
2017,0.197,9.9
2017,0.228,9.4
2017,0.241,9.5
2017,0.221,10.5
2017,0.231,10.6
2017,0.23,9.6
2017,0.23,10.2
2017,0.156,10
2017,0.24,9.55
2017,0.263,9.4
2017,0.239,9.3
2017,0.262,9.6
2017,0.257,9.65
2017,0.196,9.1
2017,0.18,10.3
2017,0.185,9.5
2017,0.179,10
2017,0.195,9.5
2017,0.179,9
2017,0.205,10
2017,0.2,9.4
2017,0.2,9.5
2017,0.195,9.8
2017,0.217,10.2
2017,0.211,9.7
2017,0.198,9.9
2017,0.218,9.4
2017,0.234,9.1
2017,0.146,8.7
2017,0.22,9
2017,0.228,10.6
2017,0.231,10.1
2017,0.207,9.9
2017,0.208,10.1
2017,0.195,10.3
2017,0.218,9
2017,0.225,9.5
2017,0.206,10.2
2017,0.229,10.5
2017,0.21,10.4
2017,0.247,8.9
2017,0.244,8.65
2017,0.233,8.9
2017,0.225,9.75
2017,0.1,7.2
2017,0.215,9.9
2017,0.182,9.8
2017,0.209,8.1
2017,0.086,7.5
2017,0.102,9
2017,0.209,9.3
2017,0.2,9.3
2017,0.22,9.6
2017,0.198,9.9
2017,0.235,10
2017,0.216,9.3
2017,0.206,8.9
2017,0.215,10.6
2017,0.223,9.9
2017,0.167,10.5
2017,0.194,10.2
2017,0.181,10.5
2017,0.192,9.8
2017,0.207,10.2
2017,0.211,10
2017,0.19,10.1
2017,0.217,10.8
2017,0.171,11
2017,0.133,9.7
2017,0.241,10.25
2017,0.214,10.05
2017,0.165,9.2
2017,0.216,11.25
2017,0.219,10.2
2017,0.135,8.3
2017,0.204,10
2017,0.218,10
2017,0.21,9.5
2017,0.125,10
2017,0.191,9.3
2017,0.216,9.3
2017,0.226,9
2017,0.229,10.2
2017,0.226,9.7
2017,0.214,9.4
2017,0.148,8.4
2017,0.217,9.8
2017,0.211,9.3
2017,0.236,9.7
2017,0.25,10.8
2017,0.297,13.4
2017,0.298,13.4
2017,0.337,13
2017,0.288,12.9
2017,0.283,11.5
2017,0.307,14.41
2017,0.312,12.57
2017,0.326,12.5
2017,0.152,14.42
2017,0.342,10.5
2017,0.32,12.8
2017,0.293,11.3
2017,0.278,11.7
2017,0.141,11
2017,0.288,11.3
2017,0.302,11.3
2017,0.292,11.6
2017,0.312,12.9
2017,0.297,11
2017,0.31,13.2
2017,0.303,12
2017,0.277,12
2017,0.322,13.2
2017,0.284,12.7
2017,0.248,13.2
2017,0.177,11
2017,0.326,12.8
2017,0.282,10.3
2017,0.313,12.75
2017,0.281,12.65
2017,0.255,11.75
2017,0.292,11.7
2017,0.315,12
2017,0.313,12.1
2017,0.309,12.2
2017,0.152,12
2017,0.322,12
2017,0.3,11.5
2017,0.316,11.2
2017,0.303,13
2017,0.261,11.6
2017,0.296,11.5
2017,0.355,12.6
2017,0.323,13.4
2017,0.337,13.1
2017,0.329,12.1
2017,0.265,12.1
2017,0.328,13
2017,0.298,12.7
2017,0.299,12.2
2017,0.29,12.25
2017,0.301,12
2017,0.289,12.5
2017,0.327,12.3
2017,0.289,12.4
2017,0.32,12
2017,0.295,12
2017,0.269,11.5
2017,0.302,12.5
2017,0.27,13
2017,0.079,9
2017,0.278,11.7
2017,0.254,12
2017,0.298,12.1